n_Name	Name	SpType	Teff	e_Teff	log(g)	e_log(g)	[Fe/H]	e_[Fe/H]	r_[Fe/H]	SimbadName	_RA	_DE
 	 	 	K	K	[cm/s2]	[cm/s2]	[Sun]	[Sun]	 	 	deg	deg
-	----------	------------	-----	----	-----	-----	-----	-----	--	----------	---------	---------
 	HD030834  	K3III       	 4223	  18	 1.63	 0.10	-0.27	 0.05	0 	HD030834  	073.15825	+36.70319
 	HD031295  	A0V         	 8817	  54	 4.20	 0.05	-0.82	 0.10	0 	HD031295  	073.72387	+10.15083
 	HD031421  	K2IIIb      	 4498	  20	 2.36	 0.08	-0.25	 0.05	0 	HD031421  	074.09281	+13.51447
 	HD031996  	CIIe...     	 3995	 175	 5.38	 0.55	-2.25	 0.72	0 	HD031996  	074.90145	-14.80625
O	HD032147  	K3V         	 4617	  21	 4.53	 0.05	 0.17	 0.04	0 	HD032147  	075.20417	-05.75368
 	HD032356  	K5II        	 4111	  13	 2.06	 0.10	-0.30	 0.05	0 	HD032356  	076.62378	+61.16976
 	HD032736  	CII...      	 4152	 197	 2.18	 1.61	-1.52	 0.90	0 	HD032736  	076.34882	+01.17763
 	HD032923  	G4V         	 5674	  27	 4.00	 0.06	-0.22	 0.05	0 	HD032923  	076.86253	+18.64505
 	HD033111  	A3III       	 8002	  99	 3.78	 0.12	-0.20	 0.12	0 	HD033111  	076.96244	-05.08645
 	HD033256  	F2V         	 6406	  35	 4.13	 0.05	-0.28	 0.05	0 	HD033256  	077.18208	-04.45621
 	HD033276  	F2IV        	 7188	  36	 3.75	 0.05	 0.21	 0.04	0 	HD033276  	077.42481	+15.59723
 	HD033608  	F5V         	 6428	  34	 4.08	 0.05	 0.18	 0.04	0 	HD033608  	077.82990	-02.49078
 	HD033751  	K0          	 4936	  33	 2.85	 0.09	 0.12	 0.07	0 	HD033751  	078.09864	+00.02407
 	HD033904  	B9IV:...    	12088	 160	 4.06	 0.06	 0.28	 0.07	0 	HD033904  	078.23292	-16.20547
 	HD033959  	A9IV...     	 7500	  52	 3.86	 0.05	-0.02	 0.05	0 	HD033959  	078.85164	+32.68760
 	HD034255  	K4Iab:      	 4196	  18	 1.14	 0.09	-0.01	 0.05	0 	HD034255  	080.09421	+62.65371
 	HD034334  	K2.5IIIb    	 4214	  19	 2.15	 0.11	-0.43	 0.07	0 	HD034334  	079.54404	+33.37161
 	HD034411  	G1.5IV-V    	 5874	  27	 4.21	 0.05	 0.08	 0.04	0 	HD034411  	079.78375	+40.10064
 	HD034578  	A5II        	 8570	  59	 2.11	 0.04	-0.19	 0.05	0 	HD034578  	080.00384	+33.95805
O	HD034797  	B8/B9IV:    	12580	 172	 4.14	 0.07	 0.62	 0.08	0 	HD034797  	079.82630	-18.50956
 	HD034816  	B0.5IV      	29190	 960	 3.91	 0.07	-0.06	 0.05	0 	HD034816  	079.89385	-13.17679
 	HD035296  	F8V         	 6162	  27	 4.32	 0.04	-0.02	 0.04	0 	HD035296  	081.10610	+17.38353
 	HD035369  	G8III       	 4941	  24	 2.55	 0.07	-0.23	 0.06	0 	HD035369  	080.98678	-07.80806
 	HD035410  	G9III-IV    	 4886	  29	 2.84	 0.08	-0.32	 0.06	0 	HD035410  	081.12045	-00.89133
 	HD035468  	B2III       	22339	 602	 3.84	 0.05	-0.07	 0.04	0 	HD035468  	081.28276	+06.34970
 	HD035497  	B7III       	14226	 196	 3.57	 0.07	 0.20	 0.07	0 	HD035497  	081.57297	+28.60745
 	HD035620  	K3IIICN+... 	 4206	  17	 1.97	 0.10	 0.15	 0.05	0 	HD035620  	081.91203	+34.47589
 	HD036130  	G0          	 5925	  37	 4.21	 0.07	 0.10	 0.05	0 	HD036130  	084.38949	+74.68877
 	HD036389  	M2Iab:      	 3716	  11	 0.11	 0.09	 0.16	 0.05	0 	HD036389  	083.05313	+18.59423
O	HD036673  	F0Ib        	 7603	  24	 2.05	 0.03	 0.08	 0.03	1 	HD036673  	083.18257	-17.82229
