Miles,Name,Teff,[Fe/H],logg
546,HD 135482,4613,0.01,2.3
547,HD 135722,4850,-0.39,2.39
548,HD 135485,15500,0.5,4.0
549,HD 136726,4212,0.05,1.95
550,HD 136202,6139,0.05,4.0
551,HD 137071,3892,0.09,1.04
552,HD 136834,4880,0.27,4.54
553,HD 137391,7186,0.1,3.93
554,HD 137759,4520,0.12,2.61
555,HD 137471,3794,0.05,1.07
556,HD 137510,5872,0.3,3.9
557,HD 137704,4084,-0.32,1.97
558,HD 137909,8466,0.96,4.06
559,HD 138290,6822,-0.1,4.14
560,HD 138481,3917,0.0,1.15
561,HD 139669,3962,0.18,1.44
562,HD 138776,5524,0.35,3.99
563,HD 138764,14054,0.08,3.88
564,HD 139195,4946,-0.13,2.64
565,HD 139641,4945,-0.51,2.82
566,HD 139446,5065,-0.27,2.65
567,HD 140160,9557,0.35,3.66
568,HD 140283,4250,-2.4,0.6
569,BD+05 3080,5034,-0.44,4.46
570,HD 141004,5823,-0.03,4.1
571,HD 141714,5332,-0.2,3.22
572,HD 141851,8246,-2.0,3.89
573,HD 142373,5783,-0.54,3.93
574,HD 142575,6779,-0.7,4.23
575,HD 142908,7038,-0.02,3.98
576,HD 142860,6309,-0.16,4.18
577,HD 142703,6903,-1.1,4.32
578,HD 143459,10498,-0.39,4.0
579,HD 143761,5752,-0.26,4.13
580,MS 1558.4-2232,4727,-0.14,4.02
581,HD 143807,10727,-0.01,3.84
582,HD 144172,6432,-0.38,4.14
583,HD 144872,4774,-0.25,4.7
584,HD 144585,5767,0.29,4.09
585,HD 144608,5363,0.03,2.62
586,HD 145148,4868,0.1,3.65
587,HD 145675,5270,0.48,4.31
588,HD 145250,4580,-0.25,2.32
589,HD 145976,6927,-0.02,4.08
590,HD 146051,3783,-0.03,1.45
591,HD 147379B,3852,-0.28,4.57
592,HD 146624,9125,-0.27,3.99
593,HD 147923,4773,-0.26,4.69
594,BD-11 4126,4702,0.0,4.62
595,HD 148112,10052,0.47,3.51
596,BD+09 0352,6131,-1.88,4.04
597,HD 148513,4131,0.2,2.15
598,BD+11 2998,5527,-1.01,2.97
599,HD 148816,5828,-0.72,4.05
600,HD 148897,4293,-1.11,1.01
601,HD 150275,4675,-0.6,2.46
602,HD 148786,5144,0.21,2.7
603,HD 149009,3877,0.12,1.23
604,HD 148898,9141,0.38,3.85
605,HD 149121,11099,0.03,3.89
606,HD 149161,3939,-0.17,1.79
607,BD+09 3223,5200,-2.31,2.0
608,HD 149382,35500,-1.3,5.7
609,HD 149661,5281,0.13,4.59
610,HD 150012,6651,0.13,3.96
611,HD 150177,6190,-0.58,4.08
612,HD 150281,5164,0.14,4.54
613,HD 150453,6589,-0.24,4.07
614,HD 151203,3475,0.04,0.91
615,HD 151217,3892,0.06,1.7
616,HD 152601,4713,0.15,2.72
617,HD 152781,4969,0.08,3.55
618,HD 153286,7534,0.49,3.75
619,HD 153882,9999,0.61,3.5
620,HD 154733,4250,0.0,2.31
621,HD 155763,12500,-0.11,3.5
622,HD 155358,5888,-0.63,4.09
623,HD 155078,6508,0.03,4.0
624,HD 156283,4233,0.1,1.56
625,HD 156026,4380,-0.27,4.71
626,HD 157373,6552,-0.43,4.18
627,HD 157214,5621,-0.41,4.05
628,HD 157089,5792,-0.57,4.05
629,HD 157910,5227,-0.07,2.58
630,HD 157881,3962,-0.16,4.56
631,HD 157856,6523,-0.07,4.04
